name,lat,lon,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03
西郷村 役場,37.141754,140.155396,1.6133333333333333,0.77,0.6017741935483871,0.6271666666666668,0.6,0.5688709677419356,0.5538333333333334,0.5458064516129033,0.5311666666666667,0.5191935483870967,0.4946774193548387,0.4687931034482759,0.4970967741935484
農業総合 センター 果樹研究所 (福島市),37.76083,140.474747,,,,,,,0.6326666666666667,0.6161290322580646,0.5973333333333333,0.5635483870967741,0.5072580645161291,0.4962068965517242,0.4911290322580645
農業総合センター 果樹研究所 (福島市),37.76083,140.474747,3.1779310344827585,1.1385,0.832741935483871,0.7285,0.6585483870967742,0.6493220338983051,,,,,,,
郡山市役所,37.40044,140.359634,2.6285714285714286,1.5443333333333333,1.1917741935483872,1.0975,0.9553225806451614,0.8353225806451613,0.8011111111111111,,,,,,
郡山市立 田母神小学校,37.40044,140.359634,,,,,,,0.20733333333333331,0.20806451612903226,0.20800000000000002,0.1970967741935484,0.18161290322580645,0.16706896551724137,0.16983870967741935
郡山市立田母神小学校,37.40044,140.359634,0.7833333333333333,0.448780487804878,0.12903225806451613,0.24616666666666667,0.22548387096774195,0.2170967741935484,,,,,,,
郡山市逢瀬 行政センター,37.449284,140.271866,,,,,,,0.5101666666666667,0.4867741935483871,0.4766666666666667,0.45661290322580644,0.3870967741935484,0.3656896551724138,0.37435483870967745
郡山市逢瀬行政センター,37.449284,140.271866,1.1500000000000001,0.795,0.485483870967742,0.673,0.6087096774193549,0.5520967741935484,,,,,,,
野沢小学校 (西会津町）,37.587402,139.649307,,,,0.09766666666666667,0.09258064516129033,0.08967741935483871,0.08766666666666666,0.08290322580645161,0.087,0.07806451612903226,0.04903225806451613,0.031724137931034485,0.03774193548387097
野沢小学校（西会津町）,37.587402,139.649307,0.14083333333333334,0.099,0.10258064516129033,,,,,,,,,,
金山町 役場,37.453732,139.524643,0.18833333333333335,0.11733333333333333,0.1135483870967742,0.111,0.10517241379310346,0.10225806451612902,0.09833333333333334,0.09548387096774194,0.09866666666666667,0.09258064516129033,0.07935483870967742,0.07827586206896552,0.07870967741935483
鏡石町 役場,37.252823,140.34343,0.7470833333333333,0.3608333333333333,0.29532258064516126,0.2805,0.2614516129032258,0.23903225806451614,0.22699999999999998,0.21274193548387096,0.2185,0.21258064516129033,0.18258064516129033,0.18086206896551724,0.17919354838709675
須賀川 市役所,37.286934,140.372574,0.7357142857142858,0.3328333333333333,0.28225806451612906,0.26633333333333337,0.2396774193548387,0.22,0.21,,,,,,
須賀川市役所 岩瀬支所,37.286934,140.372574,,,,1.1901666666666666,1.1054838709677421,0.9880645161290322,0.9273333333333333,0.8864516129032258,0.8806666666666667,0.8464516129032258,0.7320967741935483,0.6991379310344827,0.6653225806451613
須賀川市役所 長沼支所,37.286934,140.372574,,,,1.0386666666666666,0.9783870967741934,0.9333870967741935,0.8903333333333333,0.865,0.8583333333333333,0.8319354838709677,0.7153225806451613,0.7151724137931034,0.7266129032258064
鮫川村 役場,37.042374,140.509689,0.4192857142857143,0.22666666666666666,0.18758064516129033,0.16516666666666666,0.15580645161290324,0.15548387096774194,0.14733333333333334,0.15000000000000002,0.148,0.14951612903225805,0.14612903225806453,0.13879310344827586,0.1353225806451613
ＪＲ久ノ浜駅,37.750031,140.467773,1.385,0.7436666666666666,0.46499999999999997,0.399,0.3617741935483871,0.34741935483870967,0.3423333333333333,0.32370967741935486,0.30883333333333335,0.29193548387096774,0.27903225806451615,0.26689655172413795,0.25483870967741934
